Time,Price,Company
09:30 04-03,65.8047,MSFT
09:45 04-03,65.72,MSFT
10:00 04-03,65.65,MSFT
10:15 04-03,65.69,MSFT
10:30 04-03,65.65,MSFT
10:45 04-03,65.4107,MSFT
11:00 04-03,65.3,MSFT
11:15 04-03,65.38,MSFT
11:30 04-03,65.4375,MSFT
11:45 04-03,65.37,MSFT
12:00 04-03,65.275,MSFT
12:15 04-03,65.36,MSFT
12:30 04-03,65.42,MSFT
12:45 04-03,65.4828,MSFT
13:00 04-03,65.47,MSFT
13:15 04-03,65.38,MSFT
13:30 04-03,65.3,MSFT
13:45 04-03,65.41,MSFT
14:00 04-03,65.38,MSFT
14:15 04-03,65.47,MSFT
14:30 04-03,65.545,MSFT
14:45 04-03,65.5,MSFT
15:00 04-03,65.6,MSFT
15:15 04-03,65.59,MSFT
15:30 04-03,65.55,MSFT
15:45 04-03,65.55,MSFT
16:00 04-03,65.55,MSFT
09:30 04-04,65.625,MSFT
09:45 04-04,65.535,MSFT
10:00 04-04,65.45,MSFT
10:15 04-04,65.5412,MSFT
10:30 04-04,65.56,MSFT
10:45 04-04,65.51,MSFT
11:00 04-04,65.63,MSFT
11:15 04-04,65.66,MSFT
11:30 04-04,65.685,MSFT
11:45 04-04,65.66,MSFT
12:00 04-04,65.6464,MSFT
12:15 04-04,65.635,MSFT
12:30 04-04,65.63,MSFT
12:45 04-04,65.55,MSFT
13:00 04-04,65.6,MSFT
13:15 04-04,65.53,MSFT
13:30 04-04,65.58,MSFT
13:45 04-04,65.59,MSFT
14:00 04-04,65.67,MSFT
14:15 04-04,65.75,MSFT
14:30 04-04,65.78,MSFT
14:45 04-04,65.725,MSFT
15:00 04-04,65.741,MSFT
15:15 04-04,65.7,MSFT
15:30 04-04,65.79,MSFT
15:45 04-04,65.73,MSFT
16:00 04-04,65.73,MSFT
09:30 04-05,65.89,MSFT
09:45 04-05,66.02,MSFT
10:00 04-05,66.03,MSFT
10:15 04-05,66.119,MSFT
10:30 04-05,66.19,MSFT
10:45 04-05,66.25,MSFT
11:00 04-05,66.275,MSFT
11:15 04-05,66.195,MSFT
11:30 04-05,66.205,MSFT
11:45 04-05,66.13,MSFT
12:00 04-05,66.14,MSFT
12:15 04-05,66.1657,MSFT
12:30 04-05,66.145,MSFT
12:45 04-05,66.14,MSFT
13:00 04-05,66.135,MSFT
13:15 04-05,66.11,MSFT
13:30 04-05,66.0984,MSFT
13:45 04-05,66.19,MSFT
14:00 04-05,66.27,MSFT
14:15 04-05,66.345,MSFT
14:30 04-05,66.26,MSFT
14:45 04-05,65.98,MSFT
15:00 04-05,65.93,MSFT
15:15 04-05,65.7675,MSFT
15:30 04-05,65.69,MSFT
15:45 04-05,65.56,MSFT
16:00 04-05,65.56,MSFT
09:30 04-06,65.615,MSFT
09:45 04-06,65.8,MSFT
10:00 04-06,65.63,MSFT
10:15 04-06,65.79,MSFT
10:30 04-06,65.94,MSFT
10:45 04-06,65.93,MSFT
11:00 04-06,66.025,MSFT
11:15 04-06,66.0345,MSFT
11:30 04-06,65.945,MSFT
11:45 04-06,65.92,MSFT
12:00 04-06,65.815,MSFT
12:15 04-06,65.82,MSFT
12:30 04-06,65.71,MSFT
12:45 04-06,65.7275,MSFT
13:00 04-06,65.78,MSFT
13:15 04-06,65.81,MSFT
13:30 04-06,65.8128,MSFT
13:45 04-06,65.705,MSFT
14:00 04-06,65.66,MSFT
14:15 04-06,65.65,MSFT
14:30 04-06,65.69,MSFT
14:45 04-06,65.53,MSFT
15:00 04-06,65.7193,MSFT
15:15 04-06,65.6837,MSFT
15:30 04-06,65.705,MSFT
15:45 04-06,65.73,MSFT
16:00 04-06,65.73,MSFT
09:30 04-07,65.71,MSFT
09:45 04-07,65.75,MSFT
10:00 04-07,65.54,MSFT
10:15 04-07,65.68,MSFT
10:30 04-07,65.73,MSFT
10:45 04-07,65.755,MSFT
11:00 04-07,65.72,MSFT
11:15 04-07,65.7448,MSFT
11:30 04-07,65.74,MSFT
11:45 04-07,65.755,MSFT
12:00 04-07,65.8,MSFT
12:15 04-07,65.875,MSFT
12:30 04-07,65.88,MSFT
12:45 04-07,65.8343,MSFT
13:00 04-07,65.77,MSFT
13:15 04-07,65.8,MSFT
13:30 04-07,65.95,MSFT
13:45 04-07,65.89,MSFT
14:00 04-07,65.94,MSFT
14:15 04-07,65.93,MSFT
14:30 04-07,65.88,MSFT
14:45 04-07,65.915,MSFT
15:00 04-07,65.85,MSFT
15:15 04-07,65.845,MSFT
15:30 04-07,65.78,MSFT
15:45 04-07,65.76,MSFT
16:00 04-07,65.68,MSFT
